Stichtag;Bezirk;Zaehlsprengel;Kennzeichen;Anzahl
2012-01-01 00:00:00.000;1;0;H;708
2012-01-01 00:00:00.000;1;0;N;81
2012-01-01 00:00:00.000;1;1;H;455
2012-01-01 00:00:00.000;1;1;N;81
2012-01-01 00:00:00.000;1;2;H;272
2012-01-01 00:00:00.000;1;2;N;31
2012-01-01 00:00:00.000;1;3;H;390
2012-01-01 00:00:00.000;1;3;N;55
2012-01-01 00:00:00.000;1;4;H;508
2012-01-01 00:00:00.000;1;4;N;59
2012-01-01 00:00:00.000;1;5;H;982
2012-01-01 00:00:00.000;1;5;N;174
2012-01-01 00:00:00.000;1;6;H;298
2012-01-01 00:00:00.000;1;6;N;61
2012-01-01 00:00:00.000;2;10;H;1031
2012-01-01 00:00:00.000;2;10;N;158
2012-01-01 00:00:00.000;2;11;H;636
2012-01-01 00:00:00.000;2;11;N;94
2012-01-01 00:00:00.000;2;12;H;272
2012-01-01 00:00:00.000;2;12;N;32
2012-01-01 00:00:00.000;2;13;H;735
2012-01-01 00:00:00.000;2;13;N;95
2012-01-01 00:00:00.000;2;14;H;1063
2012-01-01 00:00:00.000;2;14;N;164
2012-01-01 00:00:00.000;2;15;H;922
2012-01-01 00:00:00.000;2;15;N;260
2012-01-01 00:00:00.000;2;16;H;538
2012-01-01 00:00:00.000;2;16;N;150
2012-01-01 00:00:00.000;2;20;H;1032
2012-01-01 00:00:00.000;2;20;N;199
2012-01-01 00:00:00.000;2;21;H;569
2012-01-01 00:00:00.000;2;21;N;84
2012-01-01 00:00:00.000;2;22;H;461
2012-01-01 00:00:00.000;2;22;N;53
2012-01-01 00:00:00.000;2;23;H;499
2012-01-01 00:00:00.000;2;23;N;89
2012-01-01 00:00:00.000;2;24;H;887
2012-01-01 00:00:00.000;2;24;N;137
2012-01-01 00:00:00.000;2;25;H;362
2012-01-01 00:00:00.000;2;25;N;48
2012-01-01 00:00:00.000;2;26;H;1352
2012-01-01 00:00:00.000;2;26;N;147
2012-01-01 00:00:00.000;2;27;H;1094
