Stichtag;Mietpreis;Kaufpreis
2012-01-01;;
2012-02-01;;
2012-03-01;;
2012-04-01;;
2012-05-01;;
2012-06-01;;
2012-07-01;;
2012-08-01;;
2012-09-01;11.32;2795.19
2012-10-01;11.11;2740.91
2012-11-01;11.08;2857.09
2012-12-01;11.13;2931.31
2013-01-01;11.14;2826.55
2013-02-01;11.06;2726.85
2013-03-01;11.2;2873.99
2013-04-01;11.28;2903.42
2013-05-01;11.16;2955.58
2013-06-01;11.14;2835.58
2013-07-01;11.23;2780.61
2013-08-01;11.22;2779.44
2013-09-01;11.34;2823.41
2013-10-01;11.28;2763.69
2013-11-01;11.17;2792.72
2013-12-01;11.21;2868.4
2014-01-01;11.4;2843.56
2014-02-01;11.5;2871.4
2014-03-01;11.42;2885.45
2014-04-01;11.79;2922.76
2014-05-01;11.9;2876.83
2014-06-01;12.37;2998.11
2014-07-01;12.02;2962.27
2014-08-01;12.27;3065.35
2014-09-01;12.18;3188.31
2014-10-01;12.17;3179.37
2014-11-01;12.17;3095.48
2014-12-01;12.33;3096.43
2015-01-01;12.12;3084.79
2015-02-01;11.67;3043.19
2015-03-01;11.39;3035.8
2015-04-01;11.34;2934.15
2015-05-01;11.5;2860.2
2015-06-01;11.58;2826.77
2015-07-01;11.6;2767.43
2015-08-01;11.7;2892.29
2015-09-01;11.29;2985.31
2015-10-01;11.3;3024.2
2015-11-01;11.38;3097.35
2015-12-01;11.38;3020.97
2016-01-01;11.38;3371.9
2016-02-01;11.17;3321.07
2016-03-01;11.09;3154.51
2016-04-01;11.15;3064.89
2016-05-01;11.26;2962.32
2016-06-01;11.32;3054.72
2016-07-01;11.35;3096.34
2016-08-01;11.71;3033.65
2016-09-01;11.76;2961.72
2016-10-01;11.75;3106.02
2016-11-01;11.72;3255.02
2016-12-01;11.37;3218.17
2017-01-01;11.33;3452.9
2017-02-01;11.65;3600.66
2017-03-01;11.8;3708.14
2017-04-01;11.74;3609.14
2017-05-01;11.52;3498.21
2017-06-01;11.53;3448.44
2017-07-01;11.42;3364.35
2017-08-01;11.62;3372.34
2017-09-01;11.8;3334.29
2017-10-01;11.91;3305.43
2017-11-01;11.89;3353.57
2017-12-01;11.97;3339.43
2018-01-01;12.18;3407.84
2018-02-01;12.22;3446.21
2018-03-01;12.32;3545.24
2018-04-01;12.08;3680.19
2018-05-01;12.04;3823.4
2018-06-01;11.94;3653.34
2018-07-01;11.82;3606.74
2018-08-01;11.96;3528.18
2018-09-01;11.95;3529.21
2018-10-01;11.83;3332.84
2018-11-01;11.7;3365.32
2018-12-01;11.79;3313.25
2019-01-01;11.99;3220.88
2019-02-01;12.18;3294.23
2019-03-01;12.11;3212.31
2019-04-01;12;3426.92
2019-05-01;11.87;3518.63
2019-06-01;11.63;3705.39
2019-07-01;11.84;3775.72
2019-08-01;12.8;3690.23
2019-09-01;12.57;3574.14
2019-10-01;12.38;3648.23
2019-11-01;12.11;3636.87
2019-12-01;12.14;3631.98
2020-01-01;12.28;3546.29
2020-02-01;12.24;3580.82
2020-03-01;12.18;3657.86
2020-04-01;12.17;3769.59
2020-05-01;12.15;3789.2
2020-06-01;12.28;3779.88
2020-07-01;12.32;4005.31
2020-08-01;12.42;4210.5
2020-09-01;12.66;4215.31
2020-10-01;12.6;4169.76
2020-11-01;12.4;4130.81
2020-12-01;12.61;4193.55
2021-01-01;12.3;4203.16
2021-02-01;12.46;4104.67
